AT 7 7 5 7 8 8 3 3 5 5 1
AT 3 5 7 8 9 7 2 2 5 8 1
AT 7 5 6 8 8 7 4 3 8 8 1
AT 5 5 2 3 2 2 1 1 3 3 1
AT 5 7 7 5 6 8 5 5 5 5 1
AT 8 8 2 6 810 5 5 5 7 1
AT 6 7 5 5 9 8 3 3 2 6 1
AT 3 5 3 7 7 7 5 5 7 7 1
AT 6 6 3 7 8 9 6 6 910 1
AT 7 7 4 4 8 8 4 4 0 5 1
AT 3 8 7 4 510 1 1 3 2 1
AT 5 8 8 3 8 9 2 2 6 8 1
AT 3 4 4 6 7 7 7 7 6 6 1
AT 1 1 1 5 6 7 4 4 6 6 1
AT 6 4 3 71010 5 5 7 9 1
AT 4 2 2 6 6 6 3 3 0 0 1
AT 8 6 6 6 5 6 5 6 5 7 1
AT 5 7 3 7 4 7 2 2 5 7 1
AT 3 6 4 4 1 2 1 2 5 5 1
AT 6 7 8 6 7 6 6 6 7 8 1
AT 4 4 5 8 8 8 6 6 7 8 1
AT 5 5 7 5 7 9 5 5 5 5 1
AT 0 5 5 2 6 6 1 1 1 1 1
AT 5 4 6 8 8 9 3 4 5 5 1
AT 6 4 6 6 9 5 5 8 7 7 1
AT 5 2 3 3 4 3 2 2 2 1 1
AT 3 5 7 5 4 7 1 1 0 0 1
AT 6 5 5 2 4 4 3 3 2 2 1
AT 7 8 8 7 910 2 2 2 2 1
AT 5 7 7 6 6 6 6 6 6 6 1
AT 6 6 7 8 7 8 6 7 7 6 1
AT 5 6 8 9 8 8 7 8 7 8 1
AT 8 8 2 6 9 9 4 4 6 2 1
AT10 6 6 8 6 6 8 8 8 8 1
AT 6 3 7 5 6 8 2 3 3 3 1
AT 6 4 6 4 6 5 3 1 4 4 1
AT 1 3 5 1 4 5 1 1 0 1 1
AT 5 8 4 2 2 4 2 2 2 3 1
AT 4 4 4 6 8 8 3 5 1 5 1
AT 5 5 5 5 5 5 3 3 3 7 1
AT 5 8 6 5 5 5 4 3 5 5 1
AT 4 3 2 5 4 9 3 2 5 6 1
AT 5 6 5 7 8 8 3 3 6 6 1
AT 5 5 3 5 9 9 7 7 6 8 1
AT 5 9 6 410 8 3 3 5 6 1
AT 5 5 3101010 8 8 2 7 1
AT 6 6 7 6 7 7 5 4 5 5 1
AT 2 2 3 2 4 2 1 1 3 2 1
AT 4 4 5 7 9 9 1 1 1 1 1
AT 6 6 6 7 7 6 5 4 6 5 1
AT 4 5 3 7 6 8 5 4 3 3 1
AT 2 2 2 3 2 2 1 1 1 1 1
AT 5 5 5 7 8 9 4 3 3 6 1
AT 2 9 9 5 5 7 3 3 2 2 1
AT 0 2 3 8 7 8 6 4 6 7 1
AT 2 5 5 3 7 8 3 3 2 2 1
AT 5 7 7 910 9 5 5 3 9 1
AT 7 7 7 5 8 8 2 2 5 7 1
AT 2 2 1 2 1 3 1 1 1 2 1
AT 8 5 1 7 7 8 6 6 7 7 1
AT 7 9 6 6 8 5 5 3 6 7 1
AT 3 3 71010 9 5 5 8 9 1
AT 6 7 8 5 5 6 4 3 3 3 1
AT 5 7 6 6 5 4 3 3 2 5 1
AT 8 4 5 7 7 8 4 4 4 4 1
AT 0 7 7 5 2 2 5 5 5 5 1
AT 4 5 6 6 7 6 3 3 4 5 1
AT 7 7 8 6 5 6 4 4 5 5 1
AT 5 5 4 6 7 6 5 5 5 5 1
AT 5 7 6 6 8 9 5 5 5 5 1
AT 5 5 5 5 4 4 4 3 4 5 1
AT 6 7 7 6 5 4 2 2 3 6 1
AT 3 4 3 3 2 2 1 1 1 1 1
AT 2 2 2 9 7 9 9 9 910 1
AT 7 5 4 4 6 3 5 6 5 5 1
AT 3 4 4 2 3 1 0 3 2 3 1
AT 3 5 4 3 3 2 4 4 1 5 1
AT 4 6 5 2 1 1 4 3 1 3 1
AT 8 8 6 7 5 3 2 2 4 4 1
AT 8 7 8 3 2 1 2 3 4 6 1
AT 7 7 7 3 5 2 2 3 3 4 1
AT 2 6 4 2 8 8 1 1 0 0 1
AT 6 5 5 6 3 3 2 3 2 5 1
AT 5 4 6 7 9 8 2 3 7 6 1
AT 5 7 7 7 7 6 6 5 5 5 1
AT 7 7 8 3 2 6 3 2 1 5 1
AT 7 7 7 3 2 4 2 3 5 3 1
AT 6 6 5 5 5 5 5 5 4 2 1
AT 5 7 3 8 7 6 3 3 6 3 1
AT 6 5 5 3 4 7 3 4 7 5 1
AT 4 5 5 6 6 4 4 5 2 7 1
AT 5 7 6 5 5 4 2 4 7 7 1
AT 3 7 3 7 6 6 4 3 6 7 1
AT 5 5 5 5 5 5 5 5 5 5 1
AT 6 9 9 3 3 3 3 3 3 3 1
AT 6 5 4 1 1 1 1 1 1 1 1
AT 4 4 5 1 2 3 2 2 3 2 1
AT 6 5 5 4 5 4 5 6 5 4 1
AT 9 7 7 3 3 4 4 3 2 3 1
AT 9 6 6 1 2 2 1 1 2 1 1
AT 6 6 5 1 1 2 1 2 2 0 1
AT 6 7 7 7 6 8 0 0 5 1 1
AT 8 8 6 8 8 6 5 6 6 8 1
AT 7 6 5 3 2 4 0 0 2 6 1
AT 8 5 7 3 6 4 1 2 6 7 1
AT 8 8 7 5 3 2 2 0 2 5 1
AT 3 6 3 7 5 5 3 3 7 8 1
AT 0 0 0 1 5 8 0 3 0 5 1
AT 7 8 5 2 2 2 2 2 2 3 1
AT 7 9 6 8 8 6 5 3 6 3 1
AT 4 5 5 6 9 9 6 6 5 8 1
AT 5 8 3 6 2 1 8 9 7 3 1
AT 6 5 5 6 8 8 2 5 8 8 1
AT 5 3 3 3 3 8 1 1 3 1 1
AT 5 7 4 8 8 8 2 1 5 5 1
AT 8 8 8 5 8 8 4 3 5 4 1
AT 7 6 5 5 6 6 4 4 3 2 1
AT 7 9 8 6 710 4 4 4 4 1
AT 3 5 6 7 8 6 5 4 5 5 1
AT 4 8 5 5 7 5 3 3 4 6 1
AT 2 1 3 5 5 8 3 4 0 5 1
AT 5 4 4 0 1 1 0 0 0 0 1
AT 3 4 5 8 6 5 3 6 4 5 1
AT 6 6 7 3 5 5 2 2 0 0 1
AT 5 7 4 6 8 8 4 4 4 3 1
AT 7 9 6 5 4 4 2 1 0 0 1
AT 4 9 4 5 6 6 2 2 8 8 1
AT 1 3 3 5 7 7 0 0 2 1 1
AT 8 8 6 9 6 7 7 5 7 7 1
AT 8 5 8 5 8 8 4 4 7 7 1
AT 5 5 5 2 3 2 3 3 2 3 1
AT 6 8 8 6 6 7 6 6 7 6 1
AT 7 7 7 5 6 6 7 7 6 5 1
AT 7 8 9 5 5 5 5 5 5 5 1
AT 7 7 7 4 4 5 5 4 4 4 1
AT 8 8 8 6 6 5 6 6 7 6 1
AT 9 9 9 5 5 5 5 5 5 5 1
AT 0 8 0 5 8 8 0 0 0 0 1
AT101010 8 910 4 4 5 5 1
AT 5 3 3 3 4 7 2 2 1 4 1
AT 0 0 0 0 0 2 0 0 0 0 1
AT 2 4 8 8 8 8 3 5 2 7 1
AT 4 7 6 4 5 6 3 2 5 6 1
AT 8 8 7 5 5 3 2 4 0 0 1
AT 3 5 5 2 7 7 3 3 0 2 1
AT 8 8 7 7 8 8 6 7 6 6 1
AT 8 7 7 5 6 8 2 2 5 5 1
AT 9 9 7 7 8 8 5 5 8 8 1
AT 5 9 6 7 6 8 8 8 6 5 1
AT 3 3 2 3 4 4 1 1 1 1 1
AT 51010 5 710 5 5 3 3 1
